序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
242,114/03/12,友鋮,7718,初上櫃,114/03/06,114/03/10,"1,028,000","1,028,000",40,40,114/03/18,富邦,"1,000","41,120,000","182,925",0.56,
243,114/03/12,虎山,7736,初上市,114/03/06,114/03/10,"1,432,000","1,432,000",83.8,83.8,114/03/18,元大,"1,000","120,001,600","238,350",0.6,
244,114/03/11,永新-KY,4557,第一上市公司現金增資,114/03/05,114/03/07,"510,000","510,000",100,100,114/03/19,兆豐,"1,000","51,000,000","125,961",0.4,
245,114/03/07,雷虎,8033,上市增資,114/03/03,114/03/05,"850,000","850,000",49.8,49.8,114/03/17,福邦,"1,000","42,330,000","193,061",0.44,
246,114/03/07,華勝-KY,2248,第一上市公司初上市,114/03/03,114/03/05,"1,666,000","1,666,000",50,50,114/03/13,國票,"1,000","83,300,000","181,975",0.91,
247,114/03/07,元翎,4564,上市增資,114/03/03,114/03/05,"2,550,000","2,550,000",19,19,114/03/17,永豐金,"1,000","48,450,000","71,799",3.55,
248,114/03/06,元大期,6023,上櫃增資,114/02/27,114/03/04,"2,550,000","2,550,000",74,74,114/03/14,兆豐,"1,000","188,700,000","194,953",1.3,
249,114/03/05,豪展,4735,上櫃增資,114/02/26,114/03/03,"432,000","432,000",37.1,37.1,114/03/13,第一金,"1,000","16,027,200","13,363",3.23,
250,114/03/05,日勝生,2547,上市增資,114/02/26,114/03/03,"6,900,000","6,900,000",10.3,10.3,114/03/13,國票,"1,000","71,070,000","27,946",24.69,
251,114/03/04,森崴能源,6806,上市增資,114/02/25,114/02/27,"4,250,000","4,250,000",80,80,114/03/12,福邦,"1,000","340,000,000","287,770",1.47,
